round,a0,a1,r0,r1
1,1,0,5,0
2,1,0,5,0
3,0,1,0,5
4,0,1,0,5
5,1,1,1,1
6,1,1,1,1
7,0,1,0,5
8,1,0,5,0
9,0,1,0,5
10,1,1,1,1
11,0,0,3,3
12,1,1,1,1
13,1,0,5,0
14,0,1,0,5
15,1,1,1,1
16,0,0,3,3
17,0,0,3,3
18,0,1,0,5
19,1,0,5,0
20,1,0,5,0
21,0,1,0,5
22,1,0,5,0
23,1,0,5,0
24,0,0,3,3
25,0,1,0,5
26,1,0,5,0
27,1,1,1,1
28,0,1,0,5
29,0,0,3,3
30,0,1,0,5
31,1,1,1,1
32,0,0,3,3
33,0,0,3,3
34,0,0,3,3
35,0,1,0,5
36,0,0,3,3
37,1,1,1,1
38,1,0,5,0
39,1,0,5,0
40,1,0,5,0
41,0,1,0,5
42,1,0,5,0
43,1,1,1,1
44,1,1,1,1
45,0,1,0,5
46,1,0,5,0
47,0,0,3,3
48,1,0,5,0
49,1,0,5,0
50,0,1,0,5
51,1,1,1,1
52,1,0,5,0
53,1,1,1,1
54,1,1,1,1
55,1,0,5,0
56,1,0,5,0
57,1,0,5,0
58,1,0,5,0
59,1,1,1,1
60,1,0,5,0
61,1,1,1,1
62,1,1,1,1
63,1,0,5,0
64,0,1,0,5
65,1,0,5,0
66,1,0,5,0
67,1,0,5,0
68,1,0,5,0
69,1,0,5,0
70,1,1,1,1
71,0,1,0,5
72,1,1,1,1
73,1,1,1,1
74,0,0,3,3
75,0,1,0,5
76,1,0,5,0
77,0,1,0,5
78,0,1,0,5
79,1,1,1,1
80,0,0,3,3
81,0,1,0,5
82,1,0,5,0
83,1,0,5,0
84,1,0,5,0
85,1,1,1,1
86,1,0,5,0
87,0,1,0,5
88,0,1,0,5
89,0,0,3,3
90,0,1,0,5
91,1,1,1,1
92,1,1,1,1
93,0,0,3,3
94,0,0,3,3
95,0,0,3,3
96,0,0,3,3
97,0,1,0,5
98,0,0,3,3
99,0,0,3,3
100,0,0,3,3
101,1,0,5,0
102,1,0,5,0
103,0,0,3,3
104,0,0,3,3
105,0,1,0,5
106,0,1,0,5
107,0,0,3,3
108,1,0,5,0
109,1,0,5,0
110,1,0,5,0
111,1,1,1,1
112,1,1,1,1
113,1,1,1,1
114,1,0,5,0
115,1,0,5,0
116,1,0,5,0
117,1,0,5,0
118,1,0,5,0
119,0,0,3,3
120,0,1,0,5
121,1,1,1,1
122,1,1,1,1
123,1,1,1,1
124,1,0,5,0
125,0,1,0,5
126,1,0,5,0
127,1,1,1,1
128,1,1,1,1
129,1,1,1,1
130,1,1,1,1
131,1,1,1,1
132,1,1,1,1
133,1,1,1,1
134,0,1,0,5
135,0,1,0,5
136,1,0,5,0
137,1,1,1,1
138,1,1,1,1
139,0,1,0,5
140,1,0,5,0
141,1,0,5,0
142,1,0,5,0
143,1,1,1,1
144,0,1,0,5
145,1,0,5,0
146,1,0,5,0
147,0,0,3,3
148,0,0,3,3
149,1,0,5,0
150,0,0,3,3
151,1,1,1,1
152,0,1,0,5
153,1,0,5,0
154,0,0,3,3
155,0,1,0,5
156,0,0,3,3
157,0,0,3,3
158,0,1,0,5
159,1,0,5,0
160,0,0,3,3
161,0,0,3,3
162,0,0,3,3
163,1,0,5,0
164,1,0,5,0
165,0,0,3,3
166,0,1,0,5
167,1,0,5,0
168,1,0,5,0
169,1,0,5,0
170,0,0,3,3
171,0,0,3,3
172,0,0,3,3
173,0,1,0,5
174,1,0,5,0
175,0,0,3,3
176,0,0,3,3
177,0,0,3,3
178,0,0,3,3
179,0,0,3,3
180,0,0,3,3
181,0,0,3,3
182,1,0,5,0
183,0,0,3,3
184,0,0,3,3
185,0,0,3,3
186,0,0,3,3
187,0,0,3,3
188,0,1,0,5
189,1,0,5,0
190,1,0,5,0
191,1,0,5,0
192,1,0,5,0
193,0,1,0,5
194,1,0,5,0
195,1,0,5,0
196,1,0,5,0
197,1,0,5,0
198,0,0,3,3
199,0,1,0,5
200,1,0,5,0
201,1,0,5,0
202,0,0,3,3
203,0,0,3,3
204,0,1,0,5
205,0,0,3,3
206,0,0,3,3
207,0,1,0,5
208,1,1,1,1
209,1,0,5,0
210,1,0,5,0
211,0,1,0,5
212,1,1,1,1
213,1,0,5,0
214,1,0,5,0
215,1,0,5,0
216,0,0,3,3
217,0,0,3,3
218,0,0,3,3
219,0,1,0,5
220,1,1,1,1
221,1,0,5,0
222,1,0,5,0
223,1,0,5,0
224,1,1,1,1
225,1,1,1,1
226,1,0,5,0
227,1,0,5,0
228,1,0,5,0
229,1,0,5,0
230,1,0,5,0
231,1,0,5,0
232,1,1,1,1
233,1,1,1,1
234,1,1,1,1
235,1,0,5,0
236,1,0,5,0
237,1,0,5,0
238,1,0,5,0
239,0,0,3,3
240,0,0,3,3
241,0,0,3,3
242,0,0,3,3
243,0,0,3,3
244,1,0,5,0
245,1,0,5,0
246,1,0,5,0
247,1,0,5,0
248,1,0,5,0
249,1,0,5,0
250,1,0,5,0
251,1,0,5,0
252,1,0,5,0
253,1,0,5,0
254,0,0,3,3
255,0,0,3,3
256,1,0,5,0
257,1,0,5,0
258,1,0,5,0
259,1,0,5,0
260,1,0,5,0
261,1,1,1,1
262,1,1,1,1
263,1,0,5,0
264,1,0,5,0
265,1,1,1,1
266,1,0,5,0
267,0,0,3,3
268,0,1,0,5
269,1,1,1,1
270,1,0,5,0
271,1,0,5,0
272,1,0,5,0
273,1,0,5,0
274,1,0,5,0
275,1,0,5,0
276,1,0,5,0
277,1,0,5,0
278,1,0,5,0
279,1,0,5,0
280,1,0,5,0
281,1,0,5,0
282,1,0,5,0
283,1,0,5,0
284,1,0,5,0
285,1,0,5,0
286,1,0,5,0
287,1,0,5,0
288,1,0,5,0
289,0,0,3,3
290,0,0,3,3
291,0,0,3,3
292,0,1,0,5
293,1,1,1,1
294,1,0,5,0
295,0,0,3,3
296,0,1,0,5
297,0,1,0,5
298,1,0,5,0
299,1,0,5,0
300,1,1,1,1
301,1,0,5,0
302,1,0,5,0
303,1,0,5,0
304,1,0,5,0
305,0,0,3,3
306,0,0,3,3
307,0,0,3,3
308,0,0,3,3
309,0,0,3,3
310,0,0,3,3
311,0,0,3,3
312,0,0,3,3
313,1,0,5,0
314,1,0,5,0
315,1,0,5,0
316,1,0,5,0
317,1,0,5,0
318,0,0,3,3
319,0,0,3,3
320,0,0,3,3
321,0,0,3,3
322,0,0,3,3
323,0,0,3,3
324,0,1,0,5
325,1,0,5,0
326,1,0,5,0
327,1,0,5,0
328,1,0,5,0
329,1,0,5,0
330,1,0,5,0
331,1,0,5,0
332,0,0,3,3
333,0,0,3,3
334,0,1,0,5
335,1,0,5,0
336,0,0,3,3
337,0,1,0,5
338,1,0,5,0
339,0,0,3,3
340,0,0,3,3
341,0,1,0,5
342,1,0,5,0
343,1,0,5,0
344,1,0,5,0
345,1,0,5,0
346,1,1,1,1
347,1,0,5,0
348,1,0,5,0
349,1,0,5,0
350,1,0,5,0
351,1,0,5,0
352,1,0,5,0
353,1,0,5,0
354,1,0,5,0
355,1,0,5,0
356,1,0,5,0
357,1,0,5,0
358,1,1,1,1
359,1,0,5,0
360,1,0,5,0
361,1,0,5,0
362,1,0,5,0
363,1,0,5,0
